City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Kaitangata,NZ,2021-06-23 16:05:05,-46.2817,169.8464,44.92,81,100,7.72
203,Aitape,PG,2021-06-23 16:05:05,-3.1374,142.3475,77.05,88,29,3.91
204,Sosnovo-Ozerskoye,RU,2021-06-23 16:05:06,52.5249,111.5418,59.07,78,50,3.2
205,Bara,NG,2021-06-23 16:05:07,10.3744,10.7288,88.41,47,48,6.49
206,Vyazemskiy,RU,2021-06-23 16:05:07,47.5378,134.7525,62.31,63,38,3.96
207,Kattivakkam,IN,2021-06-23 16:05:09,13.2167,80.3167,87.89,80,100,17.02
208,Malyye Derbety,RU,2021-06-23 16:05:09,47.9547,44.6808,93.88,21,1,10.02
209,Lamar,US,2021-06-23 16:05:10,33.6668,-95.5836,85.64,78,90,8.59
210,Praia Da Vitoria,PT,2021-06-23 16:05:10,38.7333,-27.0667,69.76,75,78,2.77
211,Bredasdorp,ZA,2021-06-23 16:01:25,-34.5322,20.0403,53.28,76,92,7.47
212,Pangnirtung,CA,2021-06-23 16:05:12,66.1451,-65.7125,41.0,70,90,18.41
213,Mugla,TR,2021-06-23 16:00:41,37.2303,28.3557,81.27,30,16,9.78
214,Mildura,AU,2021-06-23 16:05:13,-34.2,142.15,54.07,100,75,8.05
215,Wladyslawowo,PL,2021-06-23 16:02:25,54.7909,18.4009,69.35,75,27,13.98
216,Luanda,AO,2021-06-23 16:01:50,-8.8368,13.2343,77.0,78,20,10.36
217,Faanui,PF,2021-06-23 16:05:16,-16.4833,-151.75,80.02,75,16,11.72
218,Kholodnyy,RU,2021-06-23 16:05:16,62.7167,147.95,50.13,64,90,5.28
219,Hermiston,US,2021-06-23 16:05:17,45.8404,-119.2895,84.42,44,1,3.0
220,Port Elizabeth,ZA,2021-06-23 16:02:46,-33.918,25.5701,61.11,76,15,16.6
221,Severo-Kurilsk,RU,2021-06-23 16:05:18,50.6789,156.125,43.18,92,14,5.5
222,Douglas,US,2021-06-23 16:05:18,41.3,-96.167,82.54,60,1,7.0
223,Milkovo,RU,2021-06-23 16:05:19,54.7167,158.6167,49.8,91,91,2.01
224,Lashio,MM,2021-06-23 16:05:19,22.9333,97.75,70.56,97,100,1.99
225,Ulaangom,MN,2021-06-23 16:05:20,49.9811,92.0667,57.06,47,36,9.33
226,Selikhino,RU,2021-06-23 16:05:21,50.3672,137.4996,59.63,96,70,2.26
227,Pacific Grove,US,2021-06-23 16:05:21,36.6177,-121.9166,67.24,79,90,3.0
228,Adand,HU,2021-06-23 16:05:22,46.8593,18.1644,88.84,38,0,3.8
229,Cayenne,GF,2021-06-23 16:01:35,4.9333,-52.3333,81.09,80,90,1.99
230,Longyearbyen,SJ,2021-06-23 16:05:26,78.2186,15.6401,39.04,75,75,13.8
231,Tahta,EG,2021-06-23 16:05:26,26.7693,31.5021,99.18,15,0,18.19
232,Vanimo,PG,2021-06-23 16:05:27,-2.6741,141.3028,77.85,89,33,3.8
233,Harer,ET,2021-06-23 16:05:28,9.3094,42.1258,63.07,69,83,9.66
234,Staroaleyskoye,RU,2021-06-23 16:05:29,51.0061,82.0,59.41,54,100,21.99
235,Slave Lake,CA,2021-06-23 16:05:30,55.2834,-114.769,58.98,77,75,11.5
236,Matamoros,MX,2021-06-23 16:02:01,25.5333,-103.25,81.1,50,62,3.38
237,Kununurra,AU,2021-06-23 16:05:31,-15.7667,128.7333,76.98,61,90,8.05
238,Acarau,BR,2021-06-23 16:05:32,-2.8856,-40.12,86.72,55,3,14.83
239,Yar-Sale,RU,2021-06-23 16:05:32,66.8333,70.8333,43.79,74,87,3.2
240,Teahupoo,PF,2021-06-23 16:05:33,-17.8333,-149.2667,67.96,75,25,7.43
241,Goderich,CA,2021-06-23 16:05:33,43.7501,-81.7165,71.04,67,6,11.25
242,Inta,RU,2021-06-23 16:05:34,66.0317,60.1659,66.0,55,75,2.66
243,Seddon,AU,2021-06-23 16:05:34,-37.8068,144.8916,56.21,88,90,4.0
244,Narsaq,GL,2021-06-23 16:05:35,60.9167,-46.05,50.22,85,100,6.73
245,La Ronge,CA,2021-06-23 16:05:36,55.1001,-105.2842,62.76,49,28,14.38
246,Bac Lieu,VN,2021-06-23 16:02:51,9.285,105.7244,80.73,78,39,8.19
247,Airai,TL,2021-06-23 16:05:37,-8.9266,125.4092,59.83,96,86,1.39
248,Vila Velha,BR,2021-06-23 16:03:12,-20.3297,-40.2925,78.96,57,18,18.39
249,Opuwo,NA,2021-06-23 16:05:38,-18.0607,13.84,73.13,23,0,7.45
250,Nanortalik,GL,2021-06-23 16:00:39,60.1432,-45.2371,47.5,87,100,18.05
251,Avera,US,2021-06-23 16:05:39,33.194,-82.5271,82.9,57,3,8.03
252,Jumla,NP,2021-06-23 16:05:39,29.2747,82.1838,60.87,92,10,1.52
